,index,Date,Open,High,Low,Close,Volume
44596,1485480,2022-04-04 11:50:00,4570.35,4571.41,4570.19,4570.88,0
44597,1485481,2022-04-04 11:51:00,4570.84,4570.84,4569.91,4569.98,0
44598,1485482,2022-04-04 11:52:00,4569.98,4571.13,4569.89,4571.13,0
44599,1485483,2022-04-04 11:53:00,4571.17,4571.69,4570.9,4571.57,0
44600,1485484,2022-04-04 11:54:00,4571.58,4572.36,4571.35,4572.33,0
44601,1485485,2022-04-04 11:55:00,4572.34,4573.23,4572.21,4573.0,0
44602,1485486,2022-04-04 11:56:00,4572.93,4573.14,4571.83,4571.91,0
44603,1485487,2022-04-04 11:57:00,4571.91,4572.13,4571.41,4571.41,0
44604,1485488,2022-04-04 11:58:00,4571.4,4572.11,4571.34,4571.97,0
44605,1485489,2022-04-04 11:59:00,4571.97,4572.14,4571.27,4571.55,0
44606,1485490,2022-04-04 12:00:00,4571.59,4571.59,4570.5,4570.88,0
44607,1485491,2022-04-04 12:01:00,4570.79,4571.6,4570.72,4571.39,0
44608,1485492,2022-04-04 12:02:00,4571.44,4571.44,4570.79,4571.04,0
44609,1485493,2022-04-04 12:03:00,4571.02,4571.03,4570.44,4570.9,0
44610,1485494,2022-04-04 12:04:00,4570.95,4571.2,4570.07,4570.33,0
44611,1485495,2022-04-04 12:05:00,4570.3,4570.51,4569.4,4570.51,0
44612,1485496,2022-04-04 12:06:00,4570.52,4571.13,4570.52,4571.09,0
44613,1485497,2022-04-04 12:07:00,4571.0,4571.07,4570.27,4570.45,0
44614,1485498,2022-04-04 12:08:00,4570.46,4570.93,4570.35,4570.53,0
44615,1485499,2022-04-04 12:09:00,4570.6,4571.76,4570.6,4571.13,0
44616,1485500,2022-04-04 12:10:00,4571.15,4571.45,4570.97,4571.09,0
44617,1485501,2022-04-04 12:11:00,4571.07,4571.07,4569.89,4570.43,0
44618,1485502,2022-04-04 12:12:00,4570.42,4572.08,4570.42,4571.9,0
44619,1485503,2022-04-04 12:13:00,4571.9,4572.87,4571.9,4572.44,0
44620,1485504,2022-04-04 12:14:00,4572.39,4572.84,4572.06,4572.84,0
44621,1485505,2022-04-04 12:15:00,4572.92,4573.01,4572.19,4572.19,0
44622,1485506,2022-04-04 12:16:00,4572.19,4573.06,4572.19,4572.36,0
44623,1485507,2022-04-04 12:17:00,4572.42,4572.44,4571.24,4571.41,0
44624,1485508,2022-04-04 12:18:00,4571.41,4571.86,4571.38,4571.68,0
44625,1485509,2022-04-04 12:19:00,4571.77,4571.77,4570.96,4571.6,0
44626,1485510,2022-04-04 12:20:00,4571.63,4572.16,4571.08,4571.13,0
44627,1485511,2022-04-04 12:21:00,4571.06,4571.47,4570.69,4570.95,0
44628,1485512,2022-04-04 12:22:00,4570.97,4571.62,4570.51,4571.47,0
44629,1485513,2022-04-04 12:23:00,4571.45,4571.67,4570.86,4571.04,0
44630,1485514,2022-04-04 12:24:00,4571.05,4571.34,4570.51,4571.15,0
44631,1485515,2022-04-04 12:25:00,4571.18,4571.6,4571.0,4571.49,0
44632,1485516,2022-04-04 12:26:00,4571.51,4572.4,4571.51,4571.82,0
44633,1485517,2022-04-04 12:27:00,4571.83,4571.89,4571.35,4571.39,0
44634,1485518,2022-04-04 12:28:00,4571.4,4572.61,4571.36,4572.08,0
44635,1485519,2022-04-04 12:29:00,4572.12,4572.36,4571.94,4572.25,0
44636,1485520,2022-04-04 12:30:00,4572.25,4573.01,4571.83,4572.55,0
44637,1485521,2022-04-04 12:31:00,4572.6,4573.04,4572.6,4572.96,0
44638,1485522,2022-04-04 12:32:00,4573.05,4573.09,4572.61,4572.61,0
44639,1485523,2022-04-04 12:33:00,4572.62,4572.77,4572.24,4572.49,0
